list-i-s,4,32,1,384,198379,516
list-d-s,4,32,1,384,201965,525
list-il-s,4,32,1,384,233758,608
list-dl-s,4,32,1,384,210630,548
list-i-m,8,2,1,48,237557,4949
list-d-m,8,2,1,48,246338,5132
list-il-m,8,2,1,48,218165,4545
list-dl-m,8,2,1,48,299152,6232
list-i-s,8,2,1,48,257565,5365
list-d-s,8,2,1,48,281126,5856
list-il-s,8,2,1,48,233051,4855
list-dl-s,8,2,1,48,247382,5153
list-i-m,8,4,1,96,273607,2850
list-d-m,8,4,1,96,228325,2378
list-il-m,8,4,1,96,255395,2660
list-dl-m,8,4,1,96,246329,2565
list-i-s,8,4,1,96,254039,2646
list-d-s,8,4,1,96,267610,2787
list-il-s,8,4,1,96,235813,2456
list-dl-s,8,4,1,96,286184,2981
list-i-m,8,8,1,192,258714,1347
list-d-m,8,8,1,192,266513,1388
list-il-m,8,8,1,192,271629,1414
list-dl-m,8,8,1,192,244702,1274
list-i-s,8,8,1,192,245853,1280
list-d-s,8,8,1,192,228681,1191
list-il-s,8,8,1,192,255523,1330
list-dl-s,8,8,1,192,261086,1359
list-i-m,8,12,1,288,244772,849
list-d-m,8,12,1,288,309707,1075
list-il-m,8,12,1,288,289292,1004
list-dl-m,8,12,1,288,289508,1005
list-i-s,8,12,1,288,256197,889
list-d-s,8,12,1,288,229229,795
list-il-s,8,12,1,288,265764,922
list-dl-s,8,12,1,288,281516,977
list-i-m,8,32,1,768,981249,1277
list-d-m,8,32,1,768,668602,870
list-il-m,8,32,1,768,1202214,1565
list-dl-m,8,32,1,768,881463,1147
list-i-s,8,32,1,768,552036,718
list-d-s,8,32,1,768,635998,828
list-il-s,8,32,1,768,835862,1088
list-dl-s,8,32,1,768,573763,747
list-i-m,12,2,1,72,380225,5280
list-d-m,12,2,1,72,334920,4651
list-il-m,12,2,1,72,360166,5002
list-dl-m,12,2,1,72,391374,5435
list-i-s,12,2,1,72,337075,4681
list-d-s,12,2,1,72,360747,5010
list-il-s,12,2,1,72,343448,4770
list-dl-s,12,2,1,72,332602,4619
list-i-m,12,4,1,144,323664,2247
list-d-m,12,4,1,144,296662,2060
list-il-m,12,4,1,144,325593,2261
list-dl-m,12,4,1,144,325527,2260
list-i-s,12,4,1,144,323585,2247
list-d-s,12,4,1,144,350730,2435
